campaign_id,client_segment,recommendation,business_case,internal_owner,client_talk_track
CMP016,Advertiser portfolio 16,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $99,146 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP006,Advertiser portfolio 06,Fix QA owner path before client readout,"measurement risk is the largest explainable constraint with $156,346 modeled upside.",Client strategy,Focus the next optimization review on measurement risk and validate the change against retained user value.
CMP012,Advertiser portfolio 12,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $54,671 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP015,Advertiser portfolio 15,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $108,599 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP017,Advertiser portfolio 17,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $157,034 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP002,Advertiser portfolio 02,Fix QA owner path before client readout,"measurement risk is the largest explainable constraint with $92,533 modeled upside.",Client strategy,Focus the next optimization review on measurement risk and validate the change against retained user value.
CMP008,Advertiser portfolio 08,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $115,505 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP014,Advertiser portfolio 14,Fix QA owner path before client readout,"measurement risk is the largest explainable constraint with $46,729 modeled upside.",Client strategy,Focus the next optimization review on measurement risk and validate the change against retained user value.
CMP007,Advertiser portfolio 07,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $91,671 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP013,Advertiser portfolio 13,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $90,696 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP010,Advertiser portfolio 10,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $120,611 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP003,Advertiser portfolio 03,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $124,980 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP005,Advertiser portfolio 05,Fix QA owner path before client readout,"measurement risk is the largest explainable constraint with $71,992 modeled upside.",Client strategy,Focus the next optimization review on measurement risk and validate the change against retained user value.
CMP018,Advertiser portfolio 18,Fix QA owner path before client readout,"measurement risk is the largest explainable constraint with $45,578 modeled upside.",Client strategy,Focus the next optimization review on measurement risk and validate the change against retained user value.
CMP009,Advertiser portfolio 09,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $112,450 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP001,Advertiser portfolio 01,Fix QA owner path before client readout,"measurement risk is the largest explainable constraint with $129,042 modeled upside.",Client strategy,Focus the next optimization review on measurement risk and validate the change against retained user value.
CMP004,Advertiser portfolio 04,Rotate concept family and isolate winning creative dimensions,"creative fatigue is the largest explainable constraint with $132,039 modeled upside.",Client strategy,Focus the next optimization review on creative fatigue and validate the change against retained user value.
CMP011,Advertiser portfolio 11,Fix QA owner path before client readout,"measurement risk is the largest explainable constraint with $77,870 modeled upside.",Client strategy,Focus the next optimization review on measurement risk and validate the change against retained user value.
